ColName,ColNameShort,Notes,Options,Units
ID,ID,Sequential number of each landslide entry in the database; will be given a unique ID if blank,,
Parent ID,PID,,,
Name,Name,,,
Aliases,Alias,,,
Frontal Confinement,FrontalConfinement,Yes or No,,
Attachment,Attachment,,,
Object type,ObjectType,,,
Depth below seafloor (m),SSDepthM,,,
Depth below seafloor TWTT,SSDepthTWT,,,
Depth below seafloor notes,SSDepthNotes,,,
Latitude/Longitude centroid,Centroid,,,
Water depth min,WDepthMin,,,
Water depth max,WDepthMax,,,
Water depth notes,WDepthNotes,,,
Total Length Lt,Lt,,,
Deposit Length Ld,Ld,,,
Evacuated Length Le,Le,,,
Length notes,Lnotes,,,
Scarp width Ws,Ws,,,
Scarp perimeter length Ls,Ls,,,
Scarp height Hs,Hs,,,
Evacuation height He,He,,,
Scarp surface nature,ScarpSurfNat,,,
Scarp notes,ScarpNotes,,,
Maximum deposit width Wd,Wd,,,
Maximum deposit thickness (m) Tdmax,TdmaxM,,,
Maximum deposit thickness (TWTT) Tdmax,TdmaxTWT,,,
Maximum unconfined deposit thickness (m) Tumax,TumaxM,,,
Maximum unconfined deposit thickness (TWTT) Tumax,TumaxTWT,,,
Thickness derivation notes,Tnotes,,,
Deposit notes,DepNotes,,,
Slope gradient of headscarp Ss,Ss,,,
Slope gradient of headscarp notes,Ssnotes,,,
Slope gradient S,S,,,
Slope gradient notes,Snotes,,,
Total height drop Ht,Ht,,,
Slope gradient toe St,,,,
Slope gradient toe notes,,,,
Upper surface type,SurfUpper,,,
Basal surface type,SurfBasal,,,
Area,A,,,m
Area notes,Anotes,,,
Volume (km3),V,,,m
Volume notes,Vnotes,,,
Age (years),Age,,,
Age error,AgeError,,,
Age notes,AgeNotes,,,
Seafloor features,Features,,,
Data type,DataType,,,
Data type notes,DataTypeNotes,,,
Data source,DataSource,,,
Data repositories,DataRepo,,,
Publication source,Pub,,,
Data Contact,,,,
Database entry attribution,,,,
Database entry notes,,,,
Data horiz resolution,DataResH,,,
Data vert resolution,DataResV,,,
Additional notes,Notes,,,